FISCAL YEAR,MONTH,DOMESTIC INTEREST,FOREIGN INTEREST,WAGES & SALARIES,PENSIONS,OTHER,TOTAL RECURRENT EXPENDITURE,COUNTY TRANSFER,DEVELOPMENT EXPENDITURE,TOTAL EXPENDITURE
1999,9,"3,816.00","3,068.00","16,749.00","1,387.00","12,919.00","37,939.00",,"6,539.00","44,478.00"
1999,12,"8,935.00","4,597.00","33,483.00","2,520.00","24,135.00","73,670.00",,"12,765.00","86,435.00"
2000,3,"15,784.00","6,039.00","50,232.00","3,732.00","39,481.00","115,268.00",,"22,493.00","137,761.00"
2000,6,"20,752.00","8,635.00","65,861.00","5,145.00","56,142.00","156,535.00",,"18,584.00","175,119.00"
2000,7,"2,739.00",746,"5,805.00",543,"4,225.00","14,058.00",,"1,360.00","15,418.00"
2000,8,"4,298.00","1,060.00","11,610.00",600,"12,192.00","29,760.00",,"1,909.00","31,669.00"
2000,9,"6,682.00","1,497.00","17,415.00","1,309.00","17,457.00","44,360.00",,"5,450.00","49,810.00"
2000,10,"8,659.00","1,934.00","23,220.00","1,650.00","26,926.00","62,389.00",,"7,396.00","69,785.00"
2000,11,"9,603.00","2,056.00","29,025.00","2,250.00","33,368.00","76,302.00",,"9,646.00","85,948.00"
2000,12,"11,302.00","2,232.00","34,828.00","3,250.00","40,593.00","92,205.00",,"12,707.00","104,912.00"
2001,1,"13,606.00","2,915.00","41,062.00","4,096.00","48,053.00","109,732.00",,"13,659.00","123,391.00"
2001,2,"14,901.00","3,293.00","46,622.00","4,755.00","57,650.00","127,221.00",,"14,807.00","142,028.00"
2001,3,"16,906.00","3,727.00","52,472.00","5,116.00","65,606.00","143,827.00",,"22,196.00","166,023.00"
2001,4,"19,225.00","4,205.00","57,431.00","5,476.00","77,896.00","164,233.00",,"23,466.00","187,699.00"
2001,5,"20,500.00","4,445.00","62,451.00","5,837.00","86,235.00","179,468.00",,"28,892.00","208,360.00"
2001,6,"23,232.00","7,803.00","68,119.00","6,136.00","93,651.00","198,941.00",,"33,980.00","232,921.00"
2001,7,"2,349.00","1,232.00","5,699.00",5,"3,534.00","12,819.00",,"1,007.00","13,826.00"
2001,8,"3,772.00","1,617.00","12,460.00","1,475.00","11,435.00","30,759.00",,"3,542.00","34,301.00"
2001,9,"5,742.00","2,436.00","18,375.00","2,505.00","15,315.00","44,373.00",,"4,609.00","48,982.00"
2001,10,"7,844.00","3,006.00","25,313.00","2,620.00","20,733.00","59,516.00",,"6,140.00","65,656.00"
2001,11,"9,534.00","3,238.00","31,641.00","4,213.00","31,315.00","79,941.00",,"7,676.00","87,617.00"
2001,12,"11,985.00","4,150.00","37,837.00","4,998.00","34,640.00","93,610.00",,"8,551.00","102,161.00"
2002,1,"14,135.00","4,998.00","44,767.00","5,782.00","42,190.00","111,872.00",,"10,555.00","122,427.00"
2002,2,"15,878.00","5,456.00","51,073.00","6,561.00","49,359.00","128,327.00",,"12,057.00","140,384.00"
